,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Win,Winby,Minutes,Age_y
830,27.0,16,28,.571,4,9,.444,2,6,.333,4,4,8,6,2,0,0,2,38,32.6,-4,1,2,45.63333333333333,28.980821917808218
831,28.0,7,14,.500,0,4,.000,5,9,.556,0,8,8,4,0,0,2,2,19,12.8,0,1,6,35.8,28.986301369863014
832,29.0,12,23,.522,4,9,.444,5,6,.833,0,8,8,8,0,0,2,3,33,26.1,-10,0,-5,43.71666666666667,28.991780821917807
834,30.0,8,15,.533,5,9,.556,5,8,.625,1,5,6,10,0,1,4,0,26,23.4,+4,1,3,39.733333333333334,29.0
835,31.0,10,16,.625,1,4,.250,5,8,.625,0,5,5,5,0,1,8,0,26,15.3,-11,0,-9,39.56666666666667,29.008219178082193
836,32.0,5,13,.385,0,1,.000,5,8,.625,1,7,8,8,1,0,3,1,15,12.7,+17,1,16,35.916666666666664,29.013698630136986
837,33.0,12,18,.667,0,0,,6,7,.857,1,3,4,5,1,0,1,1,30,26.5,+1,1,5,37.78333333333333,29.016438356164382
838,34.0,13,22,.591,3,6,.500,3,3,1.000,1,2,3,5,2,0,3,1,32,25.2,+19,1,19,35.25,29.02191780821918
839,35.0,12,17,.706,1,4,.250,7,11,.636,0,5,5,6,1,1,6,2,32,23.9,+1,0,-10,41.416666666666664,29.027397260273972
840,36.0,12,21,.571,2,5,.400,10,12,.833,3,4,7,5,0,0,4,6,36,25.7,-1,0,-9,49.36666666666667,29.03013698630137
841,37.0,8,18,.444,0,4,.000,9,10,.900,2,6,8,7,2,0,4,1,25,20.9,-15,0,-17,41.06666666666667,29.043835616438358
842,38.0,7,13,.538,0,1,.000,7,8,.875,1,7,8,10,2,1,3,3,21,22.6,+17,1,15,36.516666666666666,29.04931506849315
843,39.0,13,25,.520,0,3,.000,8,10,.800,2,6,8,6,1,0,2,4,34,25.7,+13,1,8,44.86666666666667,29.052054794520547
844,40.0,11,21,.524,3,7,.429,5,8,.625,1,3,4,6,1,0,3,1,30,21.9,0,0,-7,38.71666666666667,29.057534246575344
845,41.0,10,19,.526,0,4,.000,9,11,.818,1,7,8,4,2,0,3,1,29,23.1,+10,1,7,38.8,29.06027397260274
846,42.0,9,15,.600,2,4,.500,7,13,.538,2,11,13,6,1,0,5,1,27,22.2,+4,1,7,37.3,29.065753424657533
847,43.0,8,15,.533,1,3,.333,1,1,1.000,0,7,7,6,1,0,4,4,18,12.4,+21,1,12,27.716666666666665,29.073972602739726
848,44.0,12,20,.600,1,5,.200,9,9,1.000,1,2,3,3,0,0,3,1,34,24.8,-17,0,-17,42.166666666666664,29.08219178082192
849,45.0,13,22,.591,1,3,.333,3,6,.500,1,7,8,7,6,0,2,3,30,29.1,+14,1,15,39.1,29.09041095890411
850,46.0,9,19,.474,0,3,.000,6,8,.750,1,7,8,11,2,2,1,1,24,26.0,+6,1,6,38.31666666666667,29.095890410958905
851,47.0,11,20,.550,3,7,.429,6,8,.750,1,7,8,12,3,1,7,2,31,27.7,+3,1,4,40.78333333333333,29.101369863013698
852,48.0,4,13,.308,1,6,.167,4,6,.667,0,7,7,5,0,0,5,2,13,4.5,0,0,-5,39.35,29.10958904109589
853,49.0,12,22,.545,2,5,.400,11,14,.786,1,8,9,3,5,0,4,2,37,30.6,+8,1,6,40.983333333333334,29.117808219178084
854,50.0,14,26,.538,4,8,.500,4,7,.571,1,12,13,9,2,0,2,1,36,32.4,-2,1,1,42.266666666666666,29.12054794520548
855,51.0,16,23,.696,4,8,.500,6,8,.750,2,7,9,6,2,0,3,2,42,37.4,+19,1,11,38.46666666666667,29.136986301369863
856,52.0,15,22,.682,1,5,.200,2,5,.400,1,6,7,3,4,0,8,1,33,22.6,+9,1,22,33.4,29.14246575342466
858,53.0,13,19,.684,1,2,.500,4,6,.667,0,4,4,4,0,0,1,0,31,25.1,+21,1,26,36.63333333333333,29.161643835616438
859,54.0,8,12,.667,0,2,.000,4,5,.800,1,8,9,7,4,0,2,1,20,24.0,+14,1,14,31.216666666666665,29.167123287671235
860,55.0,22,33,.667,8,10,.800,9,12,.750,3,4,7,4,0,0,2,2,61,48.8,+16,1,17,41.2,29.172602739726027
861,56.0,9,18,.500,0,3,.000,4,6,.667,1,0,1,6,3,0,1,1,22,18.7,-15,0,-3,36.63333333333333,29.175342465753424
862,57.0,6,18,.333,0,3,.000,7,9,.778,3,5,8,7,2,0,5,5,19,11.5,-10,0,-24,38.06666666666667,29.18082191780822
863,58.0,8,23,.348,1,3,.333,0,0,,1,8,9,8,3,1,4,1,17,12.1,+6,0,-7,45.31666666666667,29.18904109589041
864,59.0,10,15,.667,3,4,.750,0,0,,2,5,7,8,3,0,3,3,23,23.8,+14,1,9,36.75,29.19178082191781
865,60.0,6,13,.462,1,4,.250,6,9,.667,0,5,5,7,3,0,5,1,19,15.1,+2,0,-1,38.05,29.197260273972603
866,61.0,8,17,.471,0,4,.000,5,7,.714,0,6,6,6,1,0,4,3,21,13.3,-8,0,-4,39.833333333333336,29.202739726027396
867,62.0,8,17,.471,1,3,.333,7,8,.875,0,5,5,6,2,0,5,3,24,16.4,+11,1,9,42.86666666666667,29.208219178082192
868,63.0,14,19,.737,6,8,.750,9,13,.692,0,6,6,4,2,3,0,1,43,42.0,+11,1,4,41.666666666666664,29.213698630136985
870,64.0,7,14,.500,0,2,.000,1,2,.500,1,5,6,7,2,1,3,0,15,14.4,+4,1,5,38.016666666666666,29.221917808219178
871,65.0,10,18,.556,2,4,.500,3,3,1.000,1,7,8,9,0,1,3,1,25,22.8,-6,0,-10,41.983333333333334,29.224657534246575
872,66.0,13,23,.565,0,1,.000,6,9,.667,4,2,6,5,4,0,5,2,32,25.0,+4,1,2,38.36666666666667,29.23013698630137
873,67.0,11,19,.579,2,6,.333,14,15,.933,0,8,8,5,0,0,6,3,38,27.4,+2,0,-1,43.4,29.235616438356164
874,68.0,7,13,.538,1,3,.333,2,2,1.000,2,8,10,12,1,0,1,0,17,22.9,+32,1,32,29.766666666666666,29.24109589041096
875,69.0,5,10,.500,1,3,.333,2,4,.500,2,5,7,2,0,0,4,1,13,7.1,+19,1,21,30.05,29.243835616438357
876,70.0,11,20,.550,1,6,.167,9,11,.818,0,7,7,8,1,0,6,2,32,23.5,+22,1,10,38.88333333333333,29.24931506849315
877,71.0,7,12,.583,1,3,.333,2,5,.400,0,4,4,8,1,1,2,0,17,16.7,+18,1,19,29.35,29.254794520547946
878,72.0,12,24,.500,2,4,.500,8,10,.800,2,6,8,5,4,1,4,5,34,26.6,+7,0,-1,47.95,29.26027397260274
879,73.0,13,22,.591,3,7,.429,9,12,.750,0,5,5,6,1,0,5,0,38,28.3,+2,1,11,42.78333333333333,29.265753424657536
880,74.0,9,16,.563,0,3,.000,11,14,.786,1,9,10,6,2,0,3,0,29,26.8,-2,0,-1,37.13333333333333,29.27123287671233
881,75.0,14,23,.609,3,5,.600,6,7,.857,1,5,6,5,2,0,5,1,37,28.4,-8,0,-5,41.36666666666667,29.273972602739725
882,76.0,11,20,.550,2,4,.500,12,13,.923,1,5,6,1,1,1,2,1,36,28.2,+13,1,12,34.86666666666667,29.279452054794522
883,77.0,10,22,.455,3,7,.429,4,8,.500,3,5,8,5,0,1,3,2,27,18.0,-13,0,-13,37.35,29.28219178082192
886,1.0,5,15,.333,1,5,.200,6,7,.857,0,5,5,4,0,0,8,3,17,3.2,-13,0,-5,43.233333333333334,29.832876712328765
887,2.0,14,30,.467,1,3,.333,7,9,.778,1,7,8,5,4,1,3,1,36,27.4,-3,1,6,41.666666666666664,29.835616438356166
888,3.0,4,12,.333,2,4,.500,1,1,1.000,1,6,7,7,1,0,3,2,11,8.8,-15,0,-19,34.93333333333333,29.846575342465755
889,4.0,8,18,.444,3,5,.600,12,12,1.000,0,3,3,4,3,0,4,2,31,23.5,+3,0,-2,42.03333333333333,29.84931506849315
890,5.0,8,18,.444,1,5,.200,5,6,.833,0,7,7,11,1,1,3,1,22,20.3,+14,1,9,39.63333333333333,29.854794520547944
891,6.0,9,17,.529,1,3,.333,13,17,.765,2,9,11,9,1,1,4,1,32,29.8,+15,1,7,40.43333333333333,29.863013698630137
892,7.0,16,27,.593,3,8,.375,6,9,.667,0,4,4,7,0,1,3,4,41,29.5,+10,1,1,40.85,29.873972602739727
893,8.0,13,20,.650,4,5,.800,2,4,.500,2,4,6,7,0,1,3,1,32,27.2,+14,1,33,28.9,29.876712328767123
894,9.0,8,18,.444,1,4,.250,5,7,.714,0,9,9,5,0,2,4,2,22,14.6,-13,0,-9,40.56666666666667,29.882191780821916
895,10.0,6,17,.353,2,3,.667,1,1,1.000,3,3,6,9,1,1,5,3,15,10.3,-3,0,-2,34.1,29.887671232876713
896,11.0,8,21,.381,2,7,.286,4,7,.571,3,1,4,4,1,1,3,0,22,13.2,-13,0,-13,39.03333333333333,29.893150684931506
897,12.0,6,12,.500,1,4,.250,2,3,.667,0,1,1,10,1,1,5,2,15,11.8,-8,0,-17,37.28333333333333,29.895890410958906
898,13.0,9,17,.529,2,4,.500,9,11,.818,1,3,4,11,3,0,1,0,29,31.2,+19,1,32,31.0,29.9013698630137
899,14.0,7,14,.500,1,5,.200,14,17,.824,1,9,10,8,3,0,4,3,29,27.6,+24,1,26,36.083333333333336,29.90684931506849
900,15.0,9,18,.500,0,1,.000,1,2,.500,0,2,2,7,1,0,3,1,19,12.7,+14,1,12,31.733333333333334,29.915068493150685
901,16.0,6,15,.400,0,4,.000,14,21,.667,1,4,5,10,0,0,7,1,26,16.6,+16,1,3,41.083333333333336,29.923287671232877
902,17.0,7,17,.412,1,6,.167,4,7,.571,1,4,5,12,2,0,4,2,19,16.2,+12,1,3,39.516666666666666,29.92876712328767
903,18.0,9,18,.500,2,4,.500,4,6,.667,0,7,7,13,3,1,4,2,24,24.3,+11,1,14,42.45,29.931506849315067
904,19.0,8,17,.471,1,3,.333,1,2,.500,0,4,4,7,3,0,3,2,18,14.2,+20,1,22,33.9,29.93972602739726
905,20.0,12,21,.571,2,5,.400,9,9,1.000,1,1,2,4,2,2,2,1,35,29.9,+7,1,4,41.88333333333333,29.942465753424656
907,21.0,17,24,.708,2,2,1.000,5,8,.625,0,5,5,5,0,1,2,1,41,33.1,-3,0,-5,37.61666666666667,29.95068493150685
908,22.0,11,19,.579,2,3,.667,3,4,.750,0,7,7,14,1,3,5,2,27,26.9,+16,1,9,40.3,29.958904109589042
909,23.0,8,16,.500,0,2,.000,5,7,.714,0,3,3,2,2,0,2,0,21,14.5,-18,0,-29,29.033333333333335,29.964383561643835
910,24.0,7,18,.389,2,4,.500,6,8,.750,1,3,4,9,2,0,4,4,22,15.7,-5,1,4,39.93333333333333,29.96986301369863
