,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Win,Winby,Minutes,Age_y
951,55.0,10,14,.714,4,6,.667,3,5,.600,0,7,7,8,1,1,2,3,27,26.6,+27,1,33,28.966666666666665,30.19178082191781
952,56.0,10,20,.500,3,6,.500,8,10,.800,0,5,5,7,2,1,3,2,31,25.5,+4,1,3,43.71666666666667,30.197260273972603
953,57.0,9,14,.643,0,3,.000,3,4,.750,1,7,8,13,3,1,1,3,21,27.8,+25,1,15,34.733333333333334,30.205479452054796
954,58.0,8,19,.421,4,8,.500,6,8,.750,1,1,2,4,0,0,4,2,26,14.1,-17,0,-14,35.266666666666666,30.208219178082192
955,59.0,5,13,.385,2,4,.500,4,6,.667,1,2,3,7,1,0,2,1,16,12.9,+13,1,25,34.583333333333336,30.213698630136985
956,60.0,13,26,.500,2,6,.333,1,2,.500,0,7,7,5,0,0,3,0,29,18.2,-7,1,3,39.3,30.21917808219178
957,61.0,10,17,.588,1,4,.250,7,7,1.000,2,8,10,6,5,1,5,1,28,28.4,+4,1,18,39.46666666666667,30.224657534246575
958,62.0,7,15,.467,3,5,.600,3,4,.750,0,8,8,5,0,0,1,2,20,16.0,+31,1,22,31.45,30.232876712328768
959,63.0,8,15,.533,2,5,.400,6,8,.750,0,5,5,9,5,1,3,4,24,24.8,-1,0,-8,38.46666666666667,30.23835616438356
960,64.0,8,24,.333,1,4,.250,3,6,.500,2,9,11,6,0,1,5,0,20,9.2,-4,1,1,37.88333333333333,30.243835616438357
961,65.0,9,16,.563,1,2,.500,4,5,.800,1,7,8,7,1,3,3,3,23,21.6,+14,1,26,35.45,30.254794520547946
962,66.0,8,17,.471,1,3,.333,3,6,.500,2,8,10,12,3,1,3,4,20,21.4,+11,1,5,36.516666666666666,30.263013698630136
963,67.0,8,15,.533,2,5,.400,3,4,.750,2,7,9,8,1,1,2,2,21,21.3,0,1,5,39.85,30.27123287671233
964,68.0,5,14,.357,0,5,.000,4,9,.444,0,3,3,7,1,0,3,1,14,7.6,+1,0,-9,26.083333333333332,30.276712328767122
966,69.0,7,17,.412,3,4,.750,4,6,.667,3,7,10,11,2,1,1,0,21,24.7,+19,1,12,32.233333333333334,30.284931506849315
968,1.0,12,22,.545,1,5,.200,0,3,.000,0,10,10,5,1,0,1,3,25,18.5,+1,0,-2,36.06666666666667,30.824657534246576
969,2.0,4,13,.308,0,3,.000,4,8,.500,1,6,7,5,3,0,3,1,12,8.5,+10,1,30,30.8,30.827397260273973
970,3.0,13,19,.684,0,2,.000,3,5,.600,2,3,5,4,1,0,4,3,29,21.0,+7,1,10,33.93333333333333,30.832876712328765
971,4.0,9,19,.474,0,3,.000,4,4,1.000,0,9,9,11,4,2,3,3,22,23.9,+21,1,7,33.333333333333336,30.84109589041096
972,5.0,9,23,.391,1,5,.200,4,7,.571,2,3,5,3,4,1,3,1,23,15.0,+14,1,10,35.06666666666667,30.846575342465755
973,6.0,12,22,.545,3,5,.600,4,6,.667,0,4,4,13,2,0,2,1,31,29.5,+24,1,6,36.333333333333336,30.852054794520548
974,7.0,10,23,.435,0,3,.000,9,14,.643,0,6,6,4,0,0,2,0,29,17.5,+1,1,4,35.016666666666666,30.85753424657534
975,8.0,11,19,.579,1,3,.333,8,12,.667,3,4,7,8,2,0,5,2,31,25.6,+4,1,4,37.85,30.863013698630137
976,9.0,12,21,.571,0,2,.000,7,10,.700,0,3,3,6,2,1,3,4,31,23.1,+17,1,6,39.38333333333333,30.87123287671233
977,10.0,13,27,.481,5,11,.455,6,12,.500,4,8,12,5,1,3,7,3,37,24.5,-2,0,-3,45.05,30.873972602739727
978,11.0,11,21,.524,4,7,.571,4,5,.800,0,6,6,3,0,0,4,3,30,18.0,-6,0,-5,39.8,30.882191780821916
979,12.0,9,13,.692,1,1,1.000,8,9,.889,3,6,9,6,0,0,4,3,27,24.0,+13,1,15,34.983333333333334,30.887671232876713
980,13.0,8,15,.533,1,2,.500,2,2,1.000,2,9,11,8,0,2,3,1,19,19.4,+17,1,12,33.333333333333336,30.893150684931506
981,14.0,7,14,.500,0,2,.000,1,5,.200,0,6,6,13,1,0,2,0,15,16.3,+29,1,14,34.96666666666667,30.898630136986302
982,15.0,6,16,.375,1,5,.200,11,12,.917,2,4,6,8,0,0,2,1,24,20.6,+13,0,-4,39.766666666666666,30.904109589041095
983,16.0,8,20,.400,2,5,.400,7,9,.778,2,11,13,5,0,0,3,2,25,17.8,+1,1,5,38.21666666666667,30.90958904109589
984,17.0,10,22,.455,1,6,.167,5,6,.833,2,7,9,5,1,0,2,0,26,20.2,-1,1,2,35.71666666666667,30.912328767123288
985,18.0,8,20,.400,0,3,.000,8,8,1.000,4,9,13,4,1,1,9,3,24,13.0,-12,0,-12,37.38333333333333,30.92054794520548
986,19.0,13,29,.448,1,5,.200,10,11,.909,2,5,7,8,1,1,5,4,37,25.1,-4,0,-6,44.78333333333333,30.92876712328767
988,20.0,14,24,.583,1,3,.333,4,4,1.000,1,9,10,3,2,3,2,3,33,28.2,+7,1,5,40.333333333333336,30.93972602739726
989,21.0,10,15,.667,0,1,.000,5,8,.625,0,3,3,8,4,0,4,0,25,23.8,+36,1,35,29.416666666666668,30.947945205479453
990,22.0,10,20,.500,0,3,.000,4,4,1.000,1,6,7,3,2,1,6,3,24,14.1,+17,1,12,35.7,30.958904109589042
991,23.0,12,27,.444,2,5,.400,7,8,.875,2,7,9,11,2,0,7,2,33,23.9,+5,1,4,39.61666666666667,30.964383561643835
992,24.0,10,17,.588,0,3,.000,3,4,.750,0,5,5,4,3,1,2,0,23,20.7,+33,1,22,25.316666666666666,30.972602739726028
993,25.0,9,22,.409,0,3,.000,6,7,.857,1,8,9,5,0,0,1,2,24,16.6,+7,1,7,37.71666666666667,30.980821917808218
994,26.0,10,26,.385,1,5,.200,4,9,.444,2,7,9,2,1,2,4,0,25,12.1,-9,0,-6,38.55,30.986301369863014
995,27.0,4,13,.308,0,3,.000,4,5,.800,0,4,4,5,0,0,3,2,12,5.0,-29,0,-29,26.45,30.98904109589041
996,28.0,4,10,.400,1,5,.200,5,9,.556,0,4,4,7,2,1,2,3,14,12.6,+3,1,4,35.38333333333333,30.994520547945207
997,29.0,13,24,.542,1,3,.333,7,8,.875,3,3,6,2,2,1,5,2,34,23.3,+3,1,6,34.38333333333333,30.997260273972604
998,30.0,11,18,.611,4,7,.571,3,4,.750,0,5,5,3,2,0,0,2,29,25.2,+28,1,25,29.216666666666665,31.008219178082193
999,31.0,7,11,.636,1,2,.500,5,8,.625,0,2,2,7,3,0,2,1,20,20.0,+11,1,22,30.683333333333334,31.013698630136986
1000,32.0,12,22,.545,4,9,.444,6,8,.750,0,10,10,4,1,1,2,3,34,26.9,+2,1,6,39.7,31.019178082191782
1001,33.0,5,12,.417,0,4,.000,3,4,.750,0,12,12,8,1,2,3,1,13,14.4,+21,1,26,32.233333333333334,31.024657534246575
1002,34.0,15,22,.682,3,5,.600,4,6,.667,0,7,7,9,2,0,2,1,37,34.8,+11,1,10,37.0,31.03013698630137
1003,35.0,9,17,.529,3,6,.500,6,8,.750,3,7,10,7,2,0,4,2,27,24.2,+2,1,3,41.71666666666667,31.035616438356165
1004,36.0,9,17,.529,1,3,.333,3,4,.750,2,5,7,5,0,0,4,4,22,14.1,+9,0,-4,37.333333333333336,31.041095890410958
1005,37.0,7,14,.500,1,2,.500,4,6,.667,2,5,7,7,0,2,4,1,19,16.0,+10,1,14,36.38333333333333,31.043835616438358
1006,38.0,7,16,.438,0,3,.000,2,2,1.000,1,4,5,5,1,1,3,1,16,11.3,-34,0,-34,32.88333333333333,31.052054794520547
1007,39.0,7,12,.583,1,1,1.000,2,4,.500,0,1,1,5,1,1,4,1,17,11.7,+15,1,13,29.05,31.057534246575344
1008,40.0,9,17,.529,1,4,.250,3,5,.600,1,4,5,12,0,0,0,4,22,21.6,+21,1,13,35.18333333333333,31.06027397260274
1009,41.0,11,27,.407,0,5,.000,4,7,.571,3,10,13,9,2,1,1,3,26,22.2,-2,0,-13,39.733333333333334,31.065753424657533
1010,42.0,11,15,.733,1,1,1.000,2,3,.667,0,4,4,9,1,1,5,2,25,21.9,+1,1,7,38.016666666666666,31.07123287671233
1011,43.0,7,8,.875,0,1,.000,7,7,1.000,0,3,3,9,0,0,2,2,21,22.6,+16,1,22,31.016666666666666,31.076712328767123
1012,44.0,7,16,.438,0,2,.000,6,7,.857,1,8,9,8,1,0,1,3,20,18.7,+19,1,8,35.8,31.08219178082192
1013,45.0,10,17,.588,0,2,.000,9,11,.818,1,4,5,7,2,2,2,2,29,27.7,+14,1,14,34.15,31.084931506849315
1014,46.0,9,22,.409,0,5,.000,6,10,.600,2,10,12,6,2,1,1,2,24,20.1,-1,1,5,43.583333333333336,31.09041095890411
1015,47.0,10,21,.476,0,3,.000,3,5,.600,0,6,6,6,1,2,1,1,23,18.5,-9,0,-9,39.13333333333333,31.095890410958905
1016,48.0,9,23,.391,0,5,.000,12,17,.706,3,4,7,4,2,1,6,2,30,17.5,-7,0,-1,38.083333333333336,31.101369863013698
1017,49.0,11,20,.550,2,5,.400,3,3,1.000,0,3,3,8,1,0,2,2,27,22.1,+8,1,15,36.7,31.104109589041094
1018,50.0,8,16,.500,1,2,.500,4,5,.800,1,9,10,10,2,1,4,1,21,21.3,+16,1,20,30.9,31.10958904109589
1019,51.0,12,22,.545,3,6,.500,2,5,.400,1,6,7,11,1,0,1,1,29,27.0,+16,1,9,36.666666666666664,31.115068493150684
1020,52.0,11,19,.579,0,2,.000,3,3,1.000,2,7,9,9,0,1,2,3,25,23.4,+13,1,11,34.61666666666667,31.136986301369863
1021,53.0,11,22,.500,2,5,.400,1,1,1.000,3,4,7,11,3,0,5,3,25,21.8,+22,1,23,37.5,31.145205479452056
1022,54.0,5,18,.278,0,4,.000,2,2,1.000,1,7,8,5,3,0,6,2,12,3.9,-4,0,-8,37.5,31.147945205479452
1023,55.0,8,13,.615,2,4,.500,5,8,.625,1,6,7,7,2,0,2,1,23,22.9,+4,1,11,30.316666666666666,31.153424657534245
1024,56.0,9,18,.500,2,4,.500,5,9,.556,1,7,8,7,1,0,6,2,25,16.3,+10,0,-2,40.483333333333334,31.15890410958904
1026,57.0,14,22,.636,2,4,.500,3,5,.600,0,5,5,4,2,0,5,2,33,22.9,+12,1,4,36.81666666666667,31.167123287671235
1027,58.0,7,18,.389,1,4,.250,4,4,1.000,1,12,13,8,3,0,1,1,19,20.7,+15,1,25,30.383333333333333,31.17808219178082
1028,59.0,11,20,.550,1,4,.250,5,9,.556,4,7,11,8,2,1,4,2,28,25.2,+4,1,17,36.0,31.18082191780822
1029,60.0,11,19,.579,2,4,.500,4,5,.800,2,7,9,5,1,0,4,2,28,21.9,-9,0,-3,37.63333333333333,31.186301369863013
1030,61.0,8,19,.421,1,5,.200,8,9,.889,4,7,11,6,0,0,5,1,25,18.2,+16,1,9,36.55,31.19178082191781
1031,62.0,9,18,.500,1,4,.250,5,8,.625,2,3,5,7,0,2,3,2,24,18.6,+6,1,12,34.833333333333336,31.194520547945206
1032,63.0,9,15,.600,3,4,.750,6,7,.857,1,5,6,5,1,0,2,2,27,23.6,+16,1,24,30.716666666666665,31.202739726027396
1033,64.0,10,20,.500,2,6,.333,1,2,.500,6,6,12,3,1,0,3,0,23,18.7,+6,0,-9,36.88333333333333,31.205479452054796
1035,65.0,6,15,.400,0,3,.000,6,6,1.000,1,6,7,8,1,1,4,3,18,14.5,-5,1,6,35.733333333333334,31.216438356164385
1036,66.0,13,20,.650,0,3,.000,0,0,,0,3,3,3,1,0,3,1,26,17.8,-23,0,-21,26.633333333333333,31.21917808219178
1037,67.0,12,19,.632,1,2,.500,8,11,.727,3,8,11,11,0,0,3,2,33,31.7,+38,1,33,33.43333333333333,31.224657534246575
1038,68.0,9,22,.409,1,4,.250,7,10,.700,5,1,6,8,2,1,2,0,26,23.1,+12,1,9,36.916666666666664,31.23013698630137
1039,69.0,13,16,.813,1,2,.500,3,4,.750,1,5,6,5,1,0,4,2,30,25.5,-8,0,-9,35.06666666666667,31.232876712328768
1040,70.0,10,21,.476,2,3,.667,5,6,.833,3,8,11,11,1,2,2,4,27,26.9,+20,1,14,35.766666666666666,31.23835616438356
1042,71.0,8,11,.727,0,0,,8,10,.800,0,4,4,11,2,1,6,0,24,24.3,+28,1,20,30.666666666666668,31.252054794520546
1043,72.0,12,26,.462,1,5,.200,4,5,.800,3,13,16,9,3,1,3,4,29,26.6,+6,1,2,44.416666666666664,31.254794520547946
1044,73.0,14,22,.636,0,0,,3,3,1.000,3,5,8,12,2,0,5,4,31,28.6,+10,1,9,40.833333333333336,31.26027397260274
1045,74.0,7,9,.778,1,2,.500,2,2,1.000,0,5,5,9,0,1,4,0,17,18.0,+22,1,29,28.066666666666666,31.265753424657536
1047,75.0,13,17,.765,4,5,.800,3,4,.750,3,4,7,3,0,1,4,1,33,27.6,+7,0,-3,38.55,31.276712328767122
1048,76.0,13,16,.813,3,4,.750,5,5,1.000,1,5,6,6,2,1,4,2,34,32.3,+13,1,15,32.416666666666664,31.28219178082192
1050,1.0,9,14,.643,0,3,.000,1,2,.500,3,8,11,14,0,1,4,3,19,22.2,+26,1,29,32.38333333333333,31.82191780821918
1051,2.0,7,16,.438,2,6,.333,5,7,.714,2,6,8,7,0,0,5,2,21,14.1,0,1,3,38.666666666666664,31.83013698630137
1052,3.0,7,16,.438,2,6,.333,7,11,.636,1,5,6,9,1,1,2,2,23,20.4,+1,1,6,39.0,31.832876712328765
1053,4.0,6,12,.500,1,3,.333,6,10,.600,3,10,13,8,0,0,4,4,19,16.5,+15,1,8,35.85,31.84109589041096
1054,5.0,12,22,.545,1,4,.250,5,5,1.000,1,6,7,12,1,0,2,2,30,28.5,+18,1,6,36.36666666666667,31.846575342465755
1055,6.0,9,23,.391,1,5,.200,6,7,.857,1,7,8,14,2,1,5,1,25,22.0,+11,1,1,35.86666666666667,31.852054794520548
1056,7.0,8,17,.471,2,5,.400,5,5,1.000,2,7,9,5,3,0,1,3,23,22.1,+7,0,-4,36.86666666666667,31.86027397260274
1057,8.0,9,18,.500,3,4,.750,6,9,.667,0,10,10,5,2,2,6,1,27,20.3,+7,1,11,38.1,31.86849315068493
1058,9.0,8,21,.381,2,5,.400,1,2,.500,0,8,8,8,1,1,3,0,19,13.8,+12,1,7,38.7,31.873972602739727
1059,10.0,10,15,.667,2,5,.400,6,10,.600,0,9,9,15,1,0,5,2,28,28.3,+1,1,4,38.06666666666667,31.87945205479452
1061,11.0,9,14,.643,1,3,.333,2,3,.667,0,3,3,3,0,1,2,1,21,15.7,+21,1,23,28.05,31.887671232876713
1062,12.0,11,21,.524,2,3,.667,7,8,.875,1,9,10,13,3,0,3,0,31,32.8,+17,1,12,37.5,31.9013698630137
1063,13.0,6,13,.462,2,5,.400,5,5,1.000,0,5,5,11,1,0,4,1,19,18.1,+33,1,38,29.05,31.90684931506849
1064,14.0,9,19,.474,1,4,.250,7,9,.778,2,8,10,13,1,0,5,0,26,24.4,+2,1,4,41.5,31.912328767123288
1065,15.0,8,16,.500,3,8,.375,3,7,.429,0,4,4,4,0,0,7,3,22,8.2,-12,0,-17,32.88333333333333,31.91780821917808
1066,16.0,5,14,.357,0,2,.000,6,11,.545,1,4,5,5,2,0,5,2,16,7.8,-20,0,-19,33.61666666666667,31.923287671232877
1067,17.0,13,22,.591,1,3,.333,0,0,,0,5,5,13,0,0,8,2,27,18.6,-2,0,-6,44.666666666666664,31.926027397260274
1068,18.0,12,26,.462,2,7,.286,8,9,.889,3,5,8,7,2,0,1,2,34,28.9,+9,1,4,42.016666666666666,31.934246575342467
1069,19.0,7,10,.700,1,2,.500,10,14,.714,2,4,6,7,1,2,4,2,25,24.3,+32,1,32,32.45,31.93972602739726
1070,20.0,12,22,.545,1,3,.333,2,4,.500,2,6,8,8,3,0,3,2,27,23.6,+22,1,30,37.31666666666667,31.945205479452056
1071,21.0,17,24,.708,5,10,.500,5,9,.556,1,8,9,10,3,1,5,3,44,40.0,-1,1,11,42.45,31.947945205479453
1072,22.0,9,17,.529,0,4,.000,5,8,.625,1,5,6,8,3,0,6,1,23,17.9,+9,1,17,36.483333333333334,31.956164383561642
1074,23.0,9,18,.500,2,5,.400,6,11,.545,1,6,7,9,2,2,2,1,26,24.8,+17,1,11,38.916666666666664,31.96712328767123
1075,24.0,12,25,.480,5,9,.556,5,6,.833,3,9,12,7,1,1,2,2,34,29.5,+8,1,6,47.483333333333334,31.975342465753425
1076,25.0,12,24,.500,4,7,.571,1,1,1.000,1,8,9,6,0,0,2,0,29,22.3,+26,1,11,34.416666666666664,31.97808219178082
1077,26.0,7,16,.438,0,3,.000,5,6,.833,1,3,4,6,3,0,1,0,19,18.0,+32,1,20,27.266666666666666,31.983561643835618
1078,27.0,12,22,.545,4,8,.500,3,7,.429,5,8,13,4,2,1,5,2,31,24.4,+4,1,1,40.18333333333333,31.98904109589041
1080,28.0,9,18,.500,2,6,.333,3,7,.429,2,6,8,11,1,3,8,2,23,17.6,+1,1,6,43.733333333333334,32.0
1081,29.0,12,25,.480,4,8,.500,4,6,.667,2,4,6,9,1,0,1,1,32,27.0,+17,1,12,35.78333333333333,32.0027397260274
1082,30.0,9,21,.429,0,4,.000,8,10,.800,2,5,7,6,2,1,4,1,26,19.5,-4,1,8,38.916666666666664,32.00821917808219
1083,31.0,12,21,.571,1,2,.500,6,9,.667,2,6,8,7,1,0,5,2,31,23.2,-13,0,-12,36.88333333333333,32.013698630136986
1084,32.0,14,20,.700,0,1,.000,8,10,.800,0,9,9,6,3,0,5,2,36,30.9,+20,1,8,35.28333333333333,32.01917808219178
1085,33.0,11,17,.647,2,4,.500,4,6,.667,3,5,8,4,1,0,7,3,28,18.9,-2,1,4,39.516666666666666,32.02465753424657
1086,34.0,10,20,.500,3,6,.500,6,7,.857,1,5,6,5,4,0,4,0,29,24.3,-8,0,-8,36.916666666666664,32.03013698630137
1087,35.0,5,12,.417,2,5,.400,8,9,.889,1,10,11,4,1,1,5,1,20,16.0,-7,0,-16,30.516666666666666,32.032876712328765
1088,36.0,6,12,.500,1,4,.250,3,3,1.000,0,2,2,15,1,1,5,2,16,17.0,+16,1,12,41.68333333333333,32.038356164383565
1089,37.0,6,18,.333,1,4,.250,7,10,.700,2,6,8,2,1,0,6,1,20,7.8,-32,0,-35,35.0,32.04657534246575
1090,38.0,8,12,.667,0,2,.000,5,8,.625,0,9,9,15,1,2,4,2,21,25.4,+14,1,15,39.13333333333333,32.054794520547944
1091,39.0,11,16,.688,2,5,.400,5,7,.714,0,6,6,7,2,0,7,5,29,21.1,-16,0,-3,45.333333333333336,32.06027397260274
1092,40.0,11,21,.524,1,4,.250,3,4,.750,2,8,10,12,2,0,6,2,26,22.7,-11,0,-2,43.71666666666667,32.06575342465754
1093,41.0,8,15,.533,0,3,.000,8,11,.727,4,9,13,11,2,1,5,3,24,25.2,-1,0,-4,44.81666666666667,32.07123287671233
1094,42.0,13,18,.722,1,3,.333,4,7,.571,0,5,5,11,0,0,5,1,31,26.2,+22,1,8,34.233333333333334,32.07671232876712
1095,43.0,9,18,.500,0,2,.000,7,10,.700,1,13,14,8,1,0,2,1,25,23.6,+10,1,16,36.833333333333336,32.082191780821915
1096,44.0,9,19,.474,1,6,.167,4,8,.500,0,9,9,9,2,0,5,0,23,17.7,-8,0,-7,37.28333333333333,32.084931506849315
1097,45.0,11,14,.786,1,2,.500,4,7,.571,0,8,8,12,2,1,2,1,27,31.5,+16,1,28,34.46666666666667,32.09041095890411
1098,46.0,12,20,.600,4,8,.500,4,5,.800,0,5,5,10,0,0,5,1,32,25.5,+11,1,7,39.583333333333336,32.0986301369863
1099,47.0,12,18,.667,6,8,.750,2,5,.400,0,7,7,17,2,2,6,6,32,32.0,0,1,5,42.06666666666667,32.104109589041094
1100,48.0,9,16,.563,1,2,.500,6,8,.750,1,5,6,9,1,1,4,2,25,22.0,+8,1,15,38.266666666666666,32.10958904109589
1101,49.0,8,19,.421,1,4,.250,1,3,.333,1,4,5,7,2,2,3,1,18,13.9,-4,0,-9,40.88333333333333,32.11232876712329
1102,50.0,11,16,.688,1,1,1.000,4,4,1.000,0,5,5,12,2,0,6,1,27,25.7,+26,1,16,33.15,32.11780821917808
1103,51.0,10,14,.714,2,3,.667,3,6,.500,1,7,8,14,0,0,6,3,25,23.4,+11,1,8,39.5,32.12602739726027
1104,52.0,12,17,.706,4,5,.800,3,4,.750,0,5,5,4,1,0,4,2,31,24.0,+9,1,9,32.583333333333336,32.12876712328767
1105,53.0,7,11,.636,0,2,.000,4,6,.667,0,13,13,15,0,3,6,1,18,22.4,+10,1,15,37.1,32.15068493150685
1107,54.0,8,12,.667,1,2,.500,7,9,.778,0,10,10,6,0,0,3,1,24,21.8,+8,1,7,37.18333333333333,32.16164383561644
1108,55.0,10,21,.476,3,6,.500,5,8,.625,5,8,13,10,1,1,4,3,28,25.5,-3,0,-4,40.03333333333333,32.16712328767123
1109,56.0,14,27,.519,6,10,.600,4,8,.500,1,12,13,8,0,0,2,4,38,29.4,+5,1,5,39.166666666666664,32.172602739726024
1111,57.0,11,22,.500,2,5,.400,6,10,.600,3,14,17,6,1,1,3,2,30,25.8,+14,0,-8,38.68333333333333,32.18082191780822
1112,58.0,12,22,.545,0,6,.000,5,8,.625,4,10,14,10,1,0,3,1,29,27.6,+18,0,-5,39.083333333333336,32.18904109589041
1113,59.0,8,14,.571,2,5,.400,6,10,.600,0,12,12,12,0,1,4,3,24,23.3,+12,1,12,37.56666666666667,32.1945205479452
1114,60.0,12,20,.600,4,11,.364,2,3,.667,0,7,7,5,2,0,8,2,30,19.2,-9,0,-5,40.166666666666664,32.1972602739726
1115,61.0,6,12,.500,0,2,.000,4,5,.800,0,11,11,12,0,0,2,0,16,19.3,+22,1,32,28.4,32.202739726027396
1116,62.0,13,20,.650,2,5,.400,5,10,.500,0,10,10,6,2,1,6,0,33,26.1,+14,1,8,38.25,32.20821917808219
1118,63.0,13,22,.591,3,8,.375,5,8,.625,0,6,6,7,1,0,3,2,34,26.5,+12,1,5,37.85,32.21643835616438
1119,64.0,8,12,.667,0,2,.000,2,4,.500,2,4,6,5,0,0,4,1,18,13.7,-30,0,-13,34.166666666666664,32.224657534246575
1120,65.0,9,14,.643,0,1,.000,14,16,.875,0,9,9,11,1,2,4,2,32,33.0,+1,1,7,39.9,32.23013698630137
1121,66.0,10,21,.476,0,4,.000,4,6,.667,3,8,11,8,0,1,3,2,24,19.5,-11,0,-12,40.583333333333336,32.23287671232877
1122,67.0,7,17,.412,0,3,.000,3,6,.500,3,5,8,8,0,0,2,3,17,12.7,-13,0,-29,29.533333333333335,32.23835616438356
1123,68.0,11,20,.550,1,7,.143,3,7,.429,1,9,10,8,1,1,4,0,26,21.5,-3,0,-6,39.11666666666667,32.24657534246575
1124,69.0,14,22,.636,3,7,.429,3,6,.500,2,7,9,6,0,0,2,2,34,27.9,+31,1,17,29.933333333333334,32.24931506849315
1125,70.0,16,29,.552,3,10,.300,6,12,.500,4,10,14,11,2,1,1,4,41,38.3,-1,1,5,51.65,32.25479452054795
1126,71.0,7,14,.500,0,3,.000,4,6,.667,1,10,11,11,2,1,6,2,18,17.5,+17,1,20,37.1,32.26027397260274
1127,72.0,14,22,.636,1,4,.250,7,7,1.000,2,8,10,6,1,2,3,3,36,32.4,+32,1,23,38.55,32.26301369863014
1128,73.0,12,15,.800,1,2,.500,2,6,.333,1,7,8,7,2,0,5,0,27,24.4,-15,0,-14,41.416666666666664,32.26849315068493
1129,74.0,11,21,.524,1,3,.333,9,10,.900,3,13,16,10,1,0,3,6,32,29.9,+2,0,-1,46.833333333333336,32.273972602739725
1132,1.0,12,19,0.632,1,5,0.2,4,4,1.0,1,15,16,9,0,2,4,3,29,28.2,0,1,3,41.2,32.797260273972604
1133,2.0,10,16,0.625,2,4,0.5,2,2,1.0,1,4,5,8,1,1,5,2,24,20.2,13,1,19,37.416666666666664,32.8054794520548
1134,3.0,8,15,0.5329999999999999,1,3,0.33299999999999996,5,6,0.833,0,4,4,2,1,1,1,0,22,17.6,-31,0,-21,31.2,32.80821917808219
1135,4.0,13,20,0.65,4,6,0.667,4,5,0.8,0,2,2,13,3,0,2,1,34,35.1,7,1,7,37.25,32.81643835616438
1136,5.0,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,1,29,25.1,-2,0,-5,41.36666666666667,32.81917808219178
1137,6.0,6,11,0.545,1,3,0.33299999999999996,5,6,0.833,0,3,3,8,0,0,4,3,18,13.6,-10,0,-22,30.766666666666666,32.827397260273976
1138,7.0,7,15,0.467,1,4,0.25,1,1,1.0,1,9,10,7,2,0,4,2,16,13.8,-17,0,-19,39.46666666666667,32.83013698630137
1139,8.0,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,1,33,27.0,-12,0,-17,37.46666666666667,32.83835616438356
1140,9.0,23,34,0.6759999999999999,2,4,0.5,9,9,1.0,5,6,11,7,3,2,3,2,57,53.2,6,1,8,42.68333333333333,32.843835616438355
1141,10.0,10,17,0.588,0,3,0.0,6,6,1.0,2,3,5,13,1,2,6,4,26,24.3,-4,0,-2,40.583333333333336,32.84931506849315
1142,11.0,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,1,30,29.9,6,1,5,36.7,32.85479452054795
1143,12.0,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,4,33,20.0,5,0,-4,40.016666666666666,32.86027397260274
1144,13.0,6,14,0.429,1,3,0.33299999999999996,6,8,0.75,1,10,11,4,0,1,6,3,19,10.8,5,1,7,41.78333333333333,32.865753424657534
1145,14.0,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,1,23,23.8,2,1,3,36.266666666666666,32.87123287671233
1146,15.0,12,24,0.5,4,7,0.5710000000000001,3,3,1.0,2,4,6,8,2,1,3,4,31,25.3,1,1,8,36.63333333333333,32.87671232876713
1147,16.0,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,0,39,28.8,1,1,5,46.13333333333333,32.88219178082192
1148,17.0,7,14,0.5,3,5,0.6,1,1,1.0,0,2,2,8,1,1,0,2,18,18.1,21,1,28,27.266666666666666,32.89041095890411
1149,18.0,11,17,0.647,4,7,0.5710000000000001,7,9,0.778,1,5,6,5,2,0,3,2,33,28.6,20,1,10,33.43333333333333,32.895890410958906
1150,19.0,10,20,0.5,3,8,0.375,4,7,0.5710000000000001,1,15,16,13,0,3,3,2,27,28.4,-2,1,1,39.56666666666667,32.9013698630137
1151,20.0,12,23,0.522,3,7,0.429,3,4,0.75,3,11,14,6,0,0,3,0,30,24.9,1,1,22,31.05,32.90958904109589
1152,21.0,10,16,0.625,1,3,0.33299999999999996,0,1,0.0,2,10,12,6,5,1,2,1,21,25.3,26,1,11,28.433333333333334,32.912328767123284
1153,22.0,8,11,0.727,3,6,0.5,5,7,0.7140000000000001,1,5,6,12,2,2,3,3,24,28.5,10,1,7,37.56666666666667,32.917808219178085
1154,23.0,13,22,0.591,0,3,0.0,8,8,1.0,0,2,2,12,0,1,5,1,34,28.1,-5,1,5,39.15,32.92328767123288
1155,24.0,9,15,0.6,2,4,0.5,3,4,0.75,0,7,7,6,2,0,2,1,23,21.6,27,1,22,34.266666666666666,32.92876712328767
1156,25.0,12,18,0.667,5,8,0.625,3,6,0.5,2,9,11,9,3,2,7,0,32,30.8,2,1,6,41.05,32.93424657534246
1157,26.0,12,22,0.545,1,5,0.2,4,5,0.8,2,8,10,8,1,2,3,1,29,26.4,3,0,-4,39.416666666666664,32.93972602739726
